Grid,Hotspot,week,month,year,near
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
8,0,0,0,0,0
9,0,0,0,0,0
10,0,0,0,0,0
11,0,0,0,0,0
12,0,0,0,0,0
13,0,0,0,0,0
14,0,0,0,0,0
15,0,0,0,0,0
16,0,0,0,0,0
17,0,0,0,0,0
18,0,0,0,0,0
19,0,0,0,0,0
20,0,0,0,0,0
21,0,0,0,0,0
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,0,0,0
25,0,0,0,0,0
26,0,0,0,0,0
27,0,0,0,0,0
28,0,0,0,0,0
29,0,0,0,0,0
30,0,0,0,0,0
31,0,0,0,0,0
32,0,0,0,0,0
33,0,0,0,0,0
34,0,0,0,0,0
35,0,0,0,0,3
36,0,0,0,0,3
37,0,0,0,0,3
38,0,0,0,0,0
39,0,0,0,0,0
40,0,0,0,0,0
41,0,0,0,0,0
42,0,0,0,0,0
43,0,0,0,0,0
44,1,0,0,0,0
45,0,0,0,0,0
46,0,0,0,0,0
47,0,0,0,0,0
48,0,0,0,0,0
49,0,0,0,0,0
50,0,0,0,0,0
51,0,0,0,0,0
52,0,0,0,0,0
53,0,0,0,0,0
54,0,0,0,0,0
55,0,0,0,0,1
56,0,0,0,0,1
57,0,0,0,0,4
58,0,0,0,3,0
59,0,0,0,0,3
60,0,0,0,0,0
61,0,0,0,0,0
62,0,0,0,0,0
63,0,0,0,0,0
64,0,0,0,0,0
65,0,0,0,0,0
66,0,0,0,0,0
67,0,0,0,0,0
68,0,0,0,0,3
69,0,0,0,0,3
70,0,0,0,0,3
71,0,0,0,0,0
72,0,0,0,0,0
73,0,0,0,0,0
74,0,0,0,0,0
75,0,0,0,0,0
76,0,0,0,0,0
77,0,0,0,0,1
78,0,0,0,1,0
79,0,0,0,0,4
80,0,0,0,0,3
81,0,0,0,0,3
82,0,0,0,0,0
83,0,0,0,0,0
84,0,0,0,0,0
85,0,0,0,0,1
86,0,0,0,0,2
87,0,0,0,0,2
88,0,0,0,0,1
89,0,0,0,0,5
90,0,0,0,0,8
91,0,0,0,0,12
92,0,0,0,3,4
93,0,0,0,0,4
94,0,0,0,0,0
95,0,0,0,0,0
96,0,0,0,0,0
97,0,0,0,0,0
98,0,0,0,0,0
99,0,0,0,0,0
100,0,0,0,0,1
101,0,0,0,0,1
102,0,0,0,0,1
103,0,0,0,0,0
104,0,0,0,0,0
105,0,0,0,0,0
106,0,0,0,0,0
107,0,0,0,0,2
108,0,0,0,1,2
109,0,0,0,1,1
110,0,0,0,0,1
111,0,0,0,0,8
112,0,0,1,5,7
113,0,0,0,3,13
114,0,0,0,1,7
115,0,0,0,0,4
116,0,0,0,0,0
117,0,0,0,0,0
118,0,0,0,0,0
119,0,0,0,0,0
120,0,0,0,0,0
121,0,0,0,0,0
122,0,0,0,0,2
123,0,0,0,0,2
124,0,0,0,0,2
125,0,0,0,0,0
126,0,0,0,0,0
127,0,0,0,0,0
128,0,0,0,0,0
129,0,0,0,0,1
130,0,0,0,0,1
131,0,0,0,0,4
132,0,0,0,1,3
133,0,0,0,0,5
134,0,0,0,0,2
135,0,0,0,0,1
136,0,0,0,0,8
137,0,0,0,3,9
138,0,0,0,1,12
139,0,0,0,0,6
140,0,0,0,0,3
141,0,0,0,0,2
142,0,0,0,0,1
143,0,0,0,0,0
144,0,0,0,0,0
145,0,0,0,0,0
146,0,0,0,0,1
147,0,0,0,0,4
148,0,0,0,2,6
149,0,0,0,0,7
150,0,0,0,0,4
151,0,0,0,0,0
152,0,0,0,0,0
153,0,0,0,0,0
154,0,0,0,0,0
155,0,0,0,0,0
156,0,0,0,0,0
157,0,0,0,0,0
158,0,0,0,0,0
159,0,0,0,0,0
160,0,0,0,0,1
161,0,0,0,1,0
162,0,0,0,0,6
163,0,0,0,2,3
164,0,0,0,0,5
165,0,0,0,0,0
166,0,0,0,0,0
167,0,0,0,0,4
168,0,0,0,0,5
169,0,0,0,0,5
170,1,0,0,0,2
171,0,0,1,1,1
172,0,0,0,1,1
173,0,0,0,0,1
174,0,0,0,0,0
175,0,0,0,0,0
176,0,0,0,0,0
177,0,0,0,0,1
178,0,0,0,1,3
179,0,0,1,1,7
180,0,0,0,4,3
181,0,0,0,0,4
182,0,0,0,0,0
183,0,0,0,0,2
184,0,0,0,0,2
185,0,0,0,0,2
186,0,0,0,0,0
187,0,0,0,0,3
188,0,0,0,0,3
189,0,0,0,0,3
190,0,0,0,0,0
191,0,0,0,0,0
192,0,0,0,0,0
193,0,0,0,0,0
194,0,0,0,0,0
195,0,0,0,0,0
196,0,0,0,0,0
197,0,0,0,0,0
198,0,0,0,0,1
199,0,0,0,0,1
200,0,0,0,0,5
201,0,0,0,2,2
202,0,0,0,0,4
203,0,0,0,0,0
204,0,0,0,0,0
205,0,0,0,0,1
206,0,0,0,1,0
207,0,0,0,0,1
208,0,0,0,0,3
209,0,0,0,0,5
210,0,0,0,0,5
211,0,0,0,0,2
212,0,0,0,0,0
213,0,0,0,0,2
214,0,0,0,0,2
215,0,0,0,0,3
216,0,0,0,0,2
217,0,0,0,0,6
218,0,0,0,0,5
219,0,0,0,0,4
220,0,0,0,0,0
221,0,0,0,0,0
222,0,0,0,0,0
223,0,0,0,0,0
224,0,0,0,0,2
225,0,0,0,2,0
226,0,0,0,0,2
227,0,0,0,0,1
228,0,0,0,0,4
229,0,0,0,3,1
230,0,0,0,0,3
231,0,0,0,0,0
232,0,0,0,0,0
233,0,0,0,0,0
234,0,0,0,0,0
235,0,0,0,0,0
236,0,0,0,0,0
237,0,0,0,0,0
238,0,0,0,0,0
239,0,0,0,0,0
240,0,0,0,0,0
241,0,0,0,0,2
242,0,0,0,0,2
243,0,0,0,0,2
244,0,0,0,0,0
245,0,0,0,0,0
246,0,0,0,0,1
247,1,0,0,0,1
248,0,0,0,0,1
249,0,0,0,0,2
250,0,0,0,2,1
251,0,0,0,1,3
252,0,0,0,0,3
253,0,0,0,0,3
254,0,0,0,0,4
255,0,0,0,2,4
256,1,0,0,0,5
257,0,0,0,0,7
258,0,0,0,0,4
259,0,0,0,0,4
260,0,0,0,0,1
261,0,0,0,0,1
262,0,0,0,0,1
263,0,0,0,0,0
264,0,0,0,0,0
265,0,0,0,0,0
266,0,0,0,0,2
267,0,0,0,0,2
268,0,0,0,0,2
269,0,0,0,0,1
270,0,0,0,1,5
271,0,0,0,0,6
272,0,0,0,0,5
273,0,0,0,0,0
274,0,0,0,0,0
275,0,0,0,0,0
276,0,0,0,0,0
277,0,0,0,0,0
278,0,0,0,0,0
279,0,0,0,0,0
280,0,0,0,0,1
281,0,0,0,0,1
282,0,0,0,0,1
283,0,0,0,0,0
284,1,0,0,0,0
285,0,0,0,0,0
286,0,0,0,0,0
287,0,0,0,0,0
288,0,0,0,0,0
289,0,0,0,0,0
290,0,0,0,0,4
291,0,0,0,0,6
292,0,0,0,0,7
293,0,0,0,0,5
294,0,0,1,1,5
295,0,0,0,1,6
296,0,1,1,1,6
297,0,0,0,0,7
298,0,0,0,3,2
299,0,0,0,0,7
300,0,0,0,4,0
301,0,0,0,0,4
302,0,0,0,0,0
303,0,0,0,0,0
304,0,0,0,0,1
305,0,0,0,1,0
306,0,0,0,0,1
307,0,0,0,0,0
308,0,0,0,0,0
309,0,0,0,0,0
310,0,0,0,0,0
311,0,0,0,0,0
312,0,0,0,0,0
313,0,0,0,0,1
314,0,0,0,0,3
315,0,0,0,2,2
316,0,0,0,0,3
317,0,0,0,0,1
318,0,0,0,0,0
319,0,0,0,0,0
320,0,0,0,0,0
321,0,0,0,0,0
322,0,0,0,0,0
323,0,0,0,0,0
324,0,0,0,0,1
325,0,1,1,1,0
326,0,0,0,0,1
327,0,0,0,0,2
328,0,0,0,0,2
329,0,0,0,0,2
330,0,0,0,0,0
331,0,0,0,0,0
332,0,0,0,0,0
333,0,0,0,0,0
334,0,0,0,0,10
335,0,0,0,4,7
336,0,0,0,0,14
337,0,0,0,0,8
338,0,0,0,1,11
339,0,0,0,2,9
340,0,0,0,1,9
341,0,0,0,0,9
342,1,0,0,0,7
343,0,0,0,0,8
344,0,0,0,0,4
345,0,0,0,0,0
346,0,0,0,0,0
347,0,0,0,0,0
348,0,0,0,0,1
349,0,0,0,0,1
350,0,0,0,0,1
351,0,0,0,0,0
352,0,0,0,0,0
353,0,0,0,0,0
354,0,0,0,0,0
355,0,0,0,0,0
356,0,0,0,0,0
357,0,0,0,0,0
358,0,0,0,0,2
359,0,0,0,0,3
360,0,0,0,1,2
361,0,0,0,0,2
362,0,0,0,0,1
363,0,0,0,0,1
364,0,0,0,0,0
365,0,0,0,0,0
366,0,0,0,0,0
367,0,0,0,0,0
368,0,0,0,0,1
369,0,0,0,0,1
370,0,0,0,0,1
371,0,0,0,0,2
372,0,0,0,2,0
373,0,0,0,0,2
374,0,0,0,0,1
375,0,0,0,0,1
376,0,0,0,0,2
377,0,0,0,0,1
378,0,0,0,0,17
379,1,0,1,6,12
380,0,0,0,1,24
381,1,0,0,3,10
382,0,0,0,2,13
383,0,0,0,2,8
384,0,0,0,0,9
385,0,0,0,3,5
386,1,0,0,1,5
387,0,0,0,0,3
388,0,0,0,0,4
389,0,0,0,0,4
390,0,0,0,0,1
391,0,0,0,0,0
392,0,0,0,0,0
393,0,0,0,0,0
394,0,0,0,0,0
395,0,0,0,0,0
396,0,0,0,0,0
397,0,0,0,0,0
398,0,0,0,0,0
399,0,0,0,0,0
400,0,0,0,0,1
401,0,0,0,0,1
402,0,0,0,0,1
403,0,0,0,0,1
404,0,0,0,0,1
405,0,0,0,0,2
406,0,0,0,1,0
407,0,0,0,0,1
408,0,0,0,0,0
409,0,0,0,0,0
410,0,0,0,0,0
411,0,0,0,0,0
412,0,0,0,0,0
413,0,0,0,0,0
414,0,0,0,0,0
415,0,0,0,0,2
416,0,0,0,0,2
417,0,0,0,0,2
418,0,0,0,0,2
419,0,0,0,1,1
420,0,0,0,0,9
421,0,0,0,1,12
422,1,0,0,0,35
423,0,0,1,6,40
424,0,0,0,1,62
425,0,0,0,4,41
426,0,0,0,1,29
427,0,0,0,0,9
428,0,0,0,1,7
429,0,0,0,0,8
430,0,0,0,2,4
431,0,0,0,0,0
432,0,0,0,0,0
433,1,0,0,0,3
434,0,0,0,3,1
435,0,0,0,1,3
436,0,0,0,0,1
437,0,0,0,0,0
438,0,0,0,0,0
439,0,0,0,0,0
440,0,0,0,0,0
441,0,0,0,0,0
442,0,0,0,0,0
443,0,0,0,0,0
444,0,0,0,0,0
445,0,0,0,0,0
446,0,0,0,0,1
447,0,0,0,1,0
448,0,0,0,0,1
449,0,0,0,0,0
450,0,0,0,0,0
451,0,0,0,0,1
452,0,0,0,0,1
453,0,0,0,0,1
454,0,0,0,0,0
455,0,0,0,0,0
456,0,0,0,0,0
457,0,0,0,0,0
458,0,0,0,0,0
459,0,0,0,0,0
460,0,0,0,0,0
461,0,0,0,0,0
462,0,0,0,0,0
463,0,0,0,0,0
464,0,0,0,0,4
465,0,0,0,1,3
466,0,0,0,0,11
467,0,0,0,6,16
468,0,0,1,6,38
469,0,0,1,10,44
470,0,0,1,16,46
471,1,0,1,16,33
472,0,0,0,1,34
473,0,0,0,1,13
474,0,0,0,1,4
475,0,0,0,0,4
476,0,0,0,0,0
477,0,0,0,0,0
478,0,0,0,0,0
479,0,0,0,0,1
480,0,0,0,0,7
481,0,0,0,0,9
482,0,0,0,0,12
483,0,0,0,0,6
484,0,0,0,0,4
485,0,0,0,0,0
486,0,0,0,0,0
487,0,0,0,0,1
488,0,0,0,0,1
489,0,0,0,0,1
490,0,0,0,0,0
491,0,0,0,0,0
492,0,0,0,0,0
493,0,0,0,0,2
494,0,0,0,0,2
495,0,0,0,0,2
496,0,0,0,0,0
497,0,0,0,0,0
498,0,0,0,0,0
499,0,0,0,0,0
500,0,0,0,0,0
501,0,0,0,0,0
502,0,0,0,0,0
503,0,0,0,0,0
504,0,0,0,0,0
505,0,0,0,0,0
506,0,0,0,0,0
507,0,0,0,0,0
508,1,0,0,0,3
509,0,0,0,0,8
510,0,0,0,0,10
511,0,0,0,0,10
512,1,0,0,2,15
513,0,0,0,0,21
514,0,0,0,0,33
515,1,0,1,9,28
516,0,0,0,6,51
517,0,0,0,0,65
518,1,0,0,3,59
519,0,0,2,7,33
520,0,0,0,2,16
521,0,0,0,0,5
522,0,0,0,0,1
523,0,0,0,0,3
524,0,0,0,0,3
525,0,0,0,0,3
526,0,0,0,0,0
527,0,0,0,0,0
528,0,0,0,0,1
529,0,0,0,1,3
530,0,0,0,3,2
531,0,0,0,1,9
532,0,0,0,4,3
533,0,0,0,0,6
534,0,0,0,0,0
535,0,0,0,0,0
536,0,0,0,0,4
537,0,0,0,1,3
538,0,0,0,0,4
539,0,0,0,0,0
540,0,0,0,0,0
541,0,0,0,0,0
542,0,0,0,0,3
543,0,0,0,1,2
544,0,0,0,0,3
545,0,0,0,0,0
546,0,0,0,0,0
547,0,0,0,0,0
548,0,0,0,0,0
549,0,0,0,0,0
550,0,0,0,0,0
551,0,0,0,0,0
552,0,0,0,0,0
553,0,0,0,0,0
554,0,0,0,0,0
555,0,0,0,0,0
556,0,0,0,0,0
557,0,0,0,0,4
558,0,0,0,3,18
559,0,0,0,5,25
560,0,0,1,2,33
561,0,0,0,0,41
562,1,0,2,12,21
563,1,0,0,0,38
564,0,0,0,0,39
565,0,0,0,0,75
566,0,0,0,10,74
567,0,0,0,4,71
568,0,0,0,5,37
569,0,0,0,1,18
570,0,0,0,0,4
571,0,0,0,0,0
572,0,0,0,0,0
573,0,0,0,0,4
574,0,0,0,0,7
575,0,0,1,3,4
576,0,0,0,0,3
577,0,0,0,0,0
578,0,0,0,0,0
579,0,0,0,0,3
580,0,0,0,0,6
581,0,0,0,0,7
582,0,0,0,0,10
583,0,0,0,2,5
584,0,0,0,0,6
585,0,0,0,0,0
586,0,0,0,0,0
587,0,0,0,0,4
588,0,0,1,3,1
589,0,0,0,0,4
590,0,0,0,0,0
591,0,0,0,0,0
592,0,0,0,0,0
593,0,0,0,0,3
594,0,0,0,2,1
595,0,0,0,0,3
596,0,0,0,0,0
597,0,0,0,0,0
598,0,0,0,0,0
599,0,0,0,0,0
600,0,0,0,0,0
601,0,0,0,0,0
602,0,0,0,0,0
603,0,0,0,0,0
604,0,0,0,0,0
605,0,0,0,0,0
606,0,0,0,0,0
607,0,0,0,0,2
608,0,0,0,0,11
