Grid,Hotspot,week,month,year,near
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
8,0,0,0,0,0
9,0,0,0,0,0
10,0,0,0,0,0
11,0,0,0,0,0
12,0,0,0,0,0
13,0,0,0,0,0
14,0,0,0,0,0
15,0,0,0,0,0
16,0,0,0,0,0
17,0,0,0,0,0
18,0,0,0,0,0
19,0,0,0,0,0
20,0,0,0,0,0
21,0,0,0,0,0
22,0,0,0,0,2
23,0,0,0,0,2
24,0,0,0,0,0
25,0,0,0,0,0
26,0,0,0,0,0
27,0,0,0,0,0
28,0,0,0,0,0
29,0,0,0,0,0
30,0,0,0,0,0
31,0,0,0,0,0
32,0,0,0,0,0
33,0,0,0,0,0
34,0,0,0,0,0
35,0,0,0,0,0
36,0,0,0,0,0
37,0,0,0,0,0
38,0,0,0,0,0
39,0,0,0,0,0
40,0,0,0,0,0
41,0,0,0,0,0
42,0,0,0,0,0
43,0,0,0,0,2
44,0,0,0,2,0
45,0,0,0,0,2
46,0,0,0,0,1
47,0,0,0,0,1
48,0,0,0,0,1
49,0,0,0,0,0
50,0,0,0,0,0
51,0,0,0,0,0
52,0,0,0,0,0
53,0,0,0,0,0
54,0,0,0,0,0
55,0,0,0,0,0
56,0,0,0,0,0
57,0,0,0,0,0
58,1,0,0,0,0
59,0,0,0,0,0
60,0,0,0,0,3
61,0,0,0,0,3
62,0,0,0,0,3
63,0,0,0,0,0
64,0,0,0,0,0
65,0,0,0,0,2
66,0,0,0,0,2
67,0,0,0,0,4
68,0,0,0,0,5
69,0,0,0,1,4
70,0,0,0,0,3
71,0,0,0,0,0
72,0,0,0,0,0
73,0,0,0,0,0
74,0,0,0,0,0
75,0,0,0,0,0
76,0,0,0,0,0
77,0,0,0,0,0
78,1,0,0,0,0
79,0,0,0,0,0
80,0,0,0,0,0
81,0,0,0,0,0
82,0,0,0,0,3
83,0,0,0,3,0
84,0,0,0,0,3
85,0,0,0,0,1
86,0,0,0,0,2
87,0,0,0,0,2
88,0,0,0,0,1
89,0,0,0,0,2
90,0,0,0,0,9
91,0,0,0,2,10
92,0,0,0,2,8
93,0,0,0,0,3
94,0,0,0,0,0
95,0,0,0,0,0
96,0,0,0,0,0
97,0,0,0,0,0
98,0,0,0,0,0
99,0,0,0,0,0
100,0,0,0,0,0
101,0,0,0,0,0
102,0,0,0,0,0
103,0,0,0,0,0
104,0,0,0,0,0
105,0,0,0,0,3
106,0,0,0,0,3
107,0,0,0,0,1
108,0,0,0,1,1
109,0,0,0,1,1
110,0,0,0,0,1
111,0,0,0,0,5
112,1,0,0,2,11
113,0,0,0,5,10
114,0,0,0,0,10
115,0,0,0,0,2
116,0,0,0,0,0
117,0,0,0,0,0
118,0,0,0,0,0
119,0,0,0,0,0
120,0,0,0,0,0
121,0,0,0,0,0
122,0,0,0,0,1
123,0,0,0,0,1
124,0,0,0,0,1
125,0,0,0,0,0
126,0,0,0,0,0
127,0,0,0,0,0
128,0,0,0,0,0
129,0,0,0,0,6
130,0,0,0,0,6
131,0,0,0,0,3
132,0,0,0,0,1
133,0,0,0,0,2
134,0,0,0,0,2
135,0,0,0,0,1
136,0,0,0,0,5
137,0,0,2,3,8
138,0,0,0,1,10
139,0,0,0,0,6
140,0,0,0,0,1
141,0,0,0,0,1
142,0,0,0,0,1
143,0,0,0,0,0
144,0,0,0,0,0
145,0,0,0,0,0
146,0,0,0,0,1
147,0,0,0,0,3
148,1,0,0,1,5
149,0,0,0,0,5
150,0,0,0,0,3
151,0,0,0,0,0
152,0,0,0,0,0
153,0,0,0,0,0
154,0,0,0,0,0
155,0,0,0,0,0
156,0,0,0,0,0
157,0,0,0,0,0
158,0,0,0,0,0
159,0,0,0,0,3
160,0,0,0,3,4
161,0,0,0,3,4
162,0,0,0,0,8
163,1,0,0,0,4
164,0,0,0,0,4
165,0,0,0,0,0
166,0,0,0,0,0
167,0,0,0,0,3
168,0,0,0,0,4
169,0,0,0,0,4
170,0,0,0,0,1
171,0,0,0,0,1
172,0,0,0,1,0
173,0,0,0,0,1
174,0,0,0,0,0
175,0,0,0,0,0
176,0,0,0,0,0
177,0,0,0,0,1
178,0,0,1,1,2
179,0,0,0,1,5
180,0,0,3,3,2
181,0,0,0,0,3
182,0,0,0,0,0
183,0,0,0,0,3
184,0,0,0,0,3
185,0,0,0,0,3
186,0,0,0,0,0
187,0,0,0,0,0
188,0,0,0,0,0
189,0,0,0,0,0
190,0,0,0,0,0
191,0,0,0,0,0
192,0,0,0,0,0
193,0,0,0,0,0
194,0,0,0,0,0
195,0,0,0,0,0
196,0,0,0,0,0
197,0,0,0,0,3
198,0,0,0,0,7
199,0,0,0,1,6
200,0,0,0,0,8
201,0,0,0,4,0
202,0,0,0,0,4
203,0,0,0,0,0
204,0,0,0,0,0
205,0,0,0,0,0
206,1,0,0,0,0
207,0,0,0,0,0
208,0,0,0,0,6
209,0,0,0,0,8
210,0,0,0,0,8
211,0,0,0,0,2
212,0,0,0,0,0
213,0,0,0,0,7
214,0,0,0,0,8
215,0,0,0,0,9
216,0,0,0,0,3
217,0,0,0,0,5
218,0,0,0,0,4
219,0,0,0,0,3
220,0,0,0,0,0
221,0,0,0,0,0
222,0,0,0,0,0
223,0,0,0,0,0
224,0,0,0,0,3
225,0,2,2,3,0
226,0,0,0,0,4
227,0,0,0,0,1
228,0,0,0,0,1
229,1,0,0,0,0
230,0,0,0,0,0
231,0,0,0,0,0
232,0,0,0,0,0
233,0,0,0,0,0
234,0,0,0,0,0
235,0,0,0,0,0
236,0,0,0,0,0
237,0,0,0,0,0
238,0,0,0,0,0
239,0,0,0,0,1
240,0,0,0,0,1
241,0,0,0,0,5
242,0,0,0,0,4
243,0,0,0,0,4
244,0,0,0,0,0
245,0,0,0,0,0
246,0,0,0,0,0
247,0,0,0,0,0
248,0,0,0,0,0
249,0,0,0,0,7
250,0,1,1,6,2
251,0,0,0,1,7
252,0,0,0,0,2
253,0,0,0,0,1
254,0,0,0,0,9
255,0,2,2,7,5
256,0,0,0,1,11
257,0,0,0,0,7
258,0,0,0,0,3
259,0,0,0,0,3
260,0,0,0,0,1
261,0,0,0,0,1
262,0,0,0,0,1
263,0,0,0,0,0
264,0,0,0,0,0
265,0,0,0,0,0
266,0,0,0,0,3
267,0,0,0,0,3
268,0,0,0,0,4
269,0,0,0,1,0
270,1,0,0,0,2
271,0,0,0,0,1
272,0,0,0,0,1
273,0,0,0,0,0
274,0,0,0,0,0
275,0,0,0,0,0
276,0,0,0,0,0
277,0,0,0,0,0
278,0,0,0,0,0
279,0,0,0,0,0
280,0,0,0,0,0
281,0,0,0,0,0
282,0,0,0,0,0
283,0,0,0,0,0
284,0,0,0,0,0
285,0,0,0,0,0
286,0,0,0,0,0
287,0,0,0,0,0
288,0,0,0,0,0
289,0,0,0,0,0
290,0,0,0,0,3
291,0,0,0,0,10
292,0,0,0,1,10
293,0,0,0,0,8
294,0,0,0,0,3
295,0,0,0,1,2
296,0,0,0,0,11
297,0,0,0,1,13
298,1,0,0,3,10
299,0,0,0,0,8
300,0,0,1,3,0
301,0,0,0,0,3
302,0,0,0,0,2
303,0,0,0,0,2
304,0,0,0,0,1
305,0,0,0,1,0
306,0,0,0,0,1
307,0,0,0,0,0
308,0,0,0,0,0
309,0,0,0,0,0
310,0,0,0,0,0
311,0,0,0,0,0
312,0,0,0,0,1
313,0,0,0,0,1
314,0,0,0,0,2
315,0,0,1,1,0
316,0,0,0,0,1
317,0,0,0,0,0
318,0,0,0,0,0
319,0,0,0,0,0
320,0,0,0,0,0
321,0,0,0,0,0
322,0,0,0,0,0
323,0,0,0,0,0
324,0,0,0,0,0
325,0,0,0,0,0
326,0,0,0,0,0
327,0,0,0,0,1
328,0,0,0,0,1
329,0,0,0,0,1
330,0,0,0,0,0
331,0,0,0,0,2
332,0,0,0,0,2
333,0,0,0,0,2
334,0,0,0,0,8
335,1,0,0,3,7
336,0,0,0,0,13
337,0,0,0,0,7
338,1,0,0,0,9
339,0,0,0,1,8
340,0,0,0,1,7
341,0,0,0,0,14
342,0,0,0,1,10
343,0,0,0,0,13
344,0,0,0,0,3
345,0,0,0,0,2
346,0,0,0,2,0
347,0,0,0,0,2
348,0,0,0,0,1
349,0,0,0,0,1
350,0,0,0,0,1
351,0,0,0,0,0
352,0,0,0,0,0
353,0,0,0,0,0
354,0,0,0,0,0
355,0,0,0,0,0
356,0,0,0,0,0
357,0,0,0,0,0
358,0,0,0,0,1
359,0,0,0,0,1
360,0,0,0,0,1
361,0,0,0,0,1
362,0,0,0,0,1
363,0,0,0,0,1
364,0,0,0,0,0
365,0,0,0,0,0
366,0,0,0,0,0
367,0,0,0,0,0
368,0,0,0,0,0
369,0,0,0,0,0
370,0,0,0,0,0
371,0,0,0,0,1
372,0,0,0,1,0
373,0,0,0,0,1
374,0,0,0,0,1
375,0,0,0,0,3
376,0,0,0,2,1
377,0,0,0,0,2
378,0,0,0,0,14
379,0,0,1,5,10
380,0,0,0,1,25
381,0,1,2,3,12
382,0,0,0,2,18
383,0,0,0,2,11
384,0,0,0,2,8
385,0,0,0,0,12
386,0,0,0,6,2
387,0,0,0,0,8
388,0,0,0,0,4
389,0,0,0,0,7
390,0,0,0,0,4
391,0,0,0,0,3
392,0,0,0,0,0
393,0,0,0,0,0
394,0,0,0,0,0
395,0,0,0,0,0
396,0,0,0,0,0
397,0,0,0,0,0
398,0,0,0,0,0
399,0,0,0,0,0
400,0,0,0,0,1
401,0,0,0,0,1
402,0,0,0,0,1
403,0,0,0,0,0
404,0,0,0,0,0
405,0,0,0,0,1
406,0,0,0,1,0
407,0,0,0,0,1
408,0,0,0,0,0
409,0,0,0,0,0
410,0,0,0,0,0
411,0,0,0,0,0
412,0,0,0,0,0
413,0,0,0,0,0
414,0,0,0,0,0
415,0,0,0,0,1
416,0,0,0,0,1
417,0,0,0,0,1
418,0,0,0,0,2
419,0,0,0,1,3
420,0,0,0,0,6
421,0,0,0,0,8
422,0,0,0,0,23
423,0,1,1,6,30
424,0,0,0,0,62
425,0,1,1,8,41
426,0,0,0,1,40
427,0,0,0,3,12
428,0,0,1,1,10
429,0,0,0,0,11
430,1,0,0,1,6
431,0,0,0,0,0
432,0,0,0,0,1
433,0,0,0,0,4
434,0,0,0,3,2
435,1,0,0,1,4
436,0,0,0,1,1
437,0,0,0,0,1
438,0,0,0,0,0
439,0,0,0,0,0
440,0,0,0,0,0
441,0,0,0,0,0
442,0,0,0,0,0
443,0,0,0,0,0
444,0,0,0,0,0
445,0,0,0,0,0
446,0,0,0,0,1
447,0,0,1,1,0
448,0,0,0,0,1
449,0,0,0,0,0
450,0,0,0,0,0
451,0,0,0,0,1
452,0,0,0,0,1
453,0,0,0,0,1
454,0,0,0,0,0
455,0,0,0,0,0
456,0,0,0,0,0
457,0,0,0,0,0
458,0,0,0,0,0
459,0,0,0,0,0
460,0,0,0,0,0
461,0,0,0,0,0
462,0,0,0,0,0
463,0,0,0,0,0
464,0,0,0,0,4
465,0,0,0,1,3
466,0,0,0,0,7
467,0,0,0,2,11
468,1,0,1,4,25
469,1,0,0,6,35
470,0,0,2,14,47
471,0,0,4,19,33
472,0,0,0,1,43
473,0,0,0,2,14
474,0,0,0,1,8
475,0,0,0,0,3
476,0,0,0,0,0
477,0,0,0,0,0
478,0,0,0,0,0
479,0,0,0,0,1
480,0,0,0,1,9
481,0,0,0,0,12
482,0,0,0,0,16
483,0,0,0,0,7
484,0,0,0,0,5
485,0,0,0,0,0
486,0,0,0,0,0
487,0,0,0,0,2
488,0,0,0,0,2
489,0,0,0,0,2
490,0,0,0,0,0
491,0,0,0,0,0
492,0,0,0,0,0
493,0,0,0,0,2
494,0,0,0,0,2
495,0,0,0,0,2
496,0,0,0,0,0
497,0,0,0,0,0
498,0,0,0,0,0
499,0,0,0,0,0
500,0,0,0,0,0
501,0,0,0,0,0
502,0,0,0,0,0
503,0,0,0,0,0
504,0,0,0,0,0
505,0,0,0,0,0
506,0,0,0,0,0
507,0,0,0,0,0
508,0,0,0,0,3
509,0,0,0,0,7
510,0,0,0,0,7
511,0,0,0,0,9
512,0,0,0,2,13
513,0,0,0,0,18
514,0,0,0,1,22
515,0,0,2,6,21
516,0,0,0,4,47
517,0,0,0,1,64
518,0,0,0,3,57
519,1,0,0,5,33
520,0,0,0,2,13
521,0,0,0,0,6
522,0,0,0,0,1
523,0,0,0,0,1
524,0,0,0,0,1
525,0,0,0,0,1
526,0,0,0,0,0
527,0,0,0,0,1
528,0,0,0,0,2
529,0,0,0,0,8
530,0,1,2,6,2
531,0,0,0,1,12
532,0,0,0,4,3
533,0,0,0,0,6
534,0,0,0,0,0
535,0,0,0,0,0
536,0,0,0,0,2
537,0,0,1,2,0
538,0,0,0,0,2
539,0,0,0,0,0
540,0,0,0,0,0
541,0,0,0,0,0
542,0,0,0,0,6
543,0,0,0,1,5
544,0,0,0,0,6
545,0,0,0,0,0
546,0,0,0,0,0
547,0,0,0,0,0
548,0,0,0,0,0
549,0,0,0,0,0
550,0,0,0,0,0
551,0,0,0,0,0
552,0,0,0,0,0
553,0,0,0,0,0
554,0,0,0,0,0
555,0,0,0,0,0
556,0,0,0,0,0
557,0,0,0,0,6
558,0,0,0,3,14
559,1,0,0,4,21
560,0,0,0,0,27
561,0,0,0,2,39
562,0,0,0,10,26
563,0,0,0,0,43
564,0,0,0,0,40
565,0,0,0,4,67
566,0,0,0,12,61
567,1,0,0,2,61
568,0,0,1,3,33
569,0,0,0,1,18
570,0,0,0,0,7
571,0,0,0,0,0
572,0,0,0,0,0
573,0,0,0,0,3
574,0,0,0,0,4
575,0,0,0,1,3
576,0,0,0,0,1
577,0,0,0,0,0
578,0,0,0,0,1
579,0,0,0,1,4
580,0,0,0,0,11
581,0,0,0,0,11
582,0,0,0,0,13
583,0,0,0,2,5
584,0,0,0,0,6
585,0,0,0,0,0
586,0,0,0,0,0
587,0,0,0,0,2
588,0,0,0,0,2
589,0,0,0,0,2
590,0,0,0,0,0
591,0,0,0,0,0
592,0,0,0,0,0
593,0,0,0,0,6
594,0,0,2,5,1
595,0,0,0,0,6
596,0,0,0,0,0
597,0,0,0,0,0
598,0,0,0,0,0
599,0,0,0,0,0
600,0,0,0,0,0
601,0,0,0,0,0
602,0,0,0,0,0
603,0,0,0,0,0
604,0,0,0,0,0
605,0,0,0,0,0
606,0,0,0,0,0
607,0,0,0,0,2
608,0,0,0,0,9
