Grid,Hotspot,week,month,year,near
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
8,0,0,0,0,0
9,0,0,0,0,0
10,0,0,0,0,0
11,0,0,0,0,0
12,0,0,0,0,0
13,0,0,0,0,0
14,0,0,0,0,0
15,0,0,0,0,0
16,0,0,0,0,0
17,0,0,0,0,0
18,0,0,0,0,0
19,0,0,0,0,0
20,0,0,0,0,0
21,0,0,0,0,0
22,0,0,0,0,2
23,0,0,0,0,2
24,0,0,0,0,0
25,0,0,0,0,0
26,0,0,0,0,0
27,0,0,0,0,0
28,0,0,0,0,0
29,0,0,0,0,0
30,0,0,0,0,0
31,0,0,0,0,0
32,0,0,0,0,0
33,0,0,0,0,0
34,0,0,0,0,0
35,0,0,0,0,0
36,0,0,0,0,0
37,0,0,0,0,0
38,0,0,0,0,0
39,0,0,0,0,0
40,0,0,0,0,0
41,0,0,0,0,0
42,0,0,0,0,0
43,0,0,0,0,2
44,0,0,0,2,0
45,0,0,0,0,2
46,0,0,0,0,1
47,0,0,0,0,1
48,0,0,0,0,1
49,0,0,0,0,0
50,0,0,0,0,0
51,0,0,0,0,0
52,0,0,0,0,0
53,0,0,0,0,0
54,0,0,0,0,0
55,0,0,0,0,0
56,0,0,0,0,0
57,0,0,0,0,0
58,0,0,0,0,0
59,0,0,0,0,0
60,0,0,0,0,3
61,0,0,0,0,3
62,0,0,0,0,3
63,0,0,0,0,0
64,0,0,0,0,0
65,0,0,0,0,2
66,0,0,0,0,2
67,0,0,0,0,4
68,0,0,0,0,7
69,0,0,0,1,6
70,0,0,0,0,5
71,0,0,0,0,0
72,0,0,0,0,0
73,0,0,0,0,0
74,0,0,0,0,0
75,0,0,0,0,0
76,0,0,0,0,0
77,0,0,0,0,0
78,0,0,0,0,0
79,0,0,0,0,0
80,0,0,0,0,0
81,0,0,0,0,0
82,0,0,0,0,3
83,0,0,0,3,0
84,0,0,0,0,3
85,0,0,0,0,1
86,0,0,0,0,2
87,0,0,0,0,2
88,0,0,0,0,1
89,0,0,0,0,2
90,0,0,0,0,8
91,0,0,0,2,11
92,0,0,1,4,7
93,0,0,0,0,5
94,0,0,0,0,0
95,0,0,0,0,0
96,0,0,0,0,0
97,0,0,0,0,0
98,0,0,0,0,0
99,0,0,0,0,0
100,0,0,0,0,0
101,0,0,0,0,0
102,0,0,0,0,0
103,0,0,0,0,0
104,0,0,0,0,0
105,0,0,0,0,3
106,0,0,0,0,3
107,0,0,0,0,1
108,0,0,0,1,1
109,0,0,1,1,1
110,0,0,0,0,1
111,0,0,0,0,3
112,0,0,1,2,8
113,1,0,0,4,10
114,0,0,0,0,11
115,0,0,0,0,4
116,0,0,0,0,0
117,0,0,0,0,0
118,0,0,0,0,0
119,0,0,0,0,0
120,0,0,0,0,0
121,0,0,0,0,0
122,0,0,0,0,1
123,0,0,0,0,1
124,0,0,0,0,1
125,0,0,0,0,0
126,0,0,0,0,0
127,0,0,0,0,0
128,0,0,0,0,0
129,0,0,0,0,7
130,0,0,0,0,7
131,0,0,0,0,4
132,0,0,0,0,1
133,0,0,0,0,2
134,0,0,0,0,2
135,0,0,0,0,1
136,0,0,0,0,3
137,0,0,0,1,7
138,0,0,0,1,7
139,0,0,0,0,5
140,0,0,0,0,1
141,0,0,0,0,1
142,0,0,0,0,1
143,0,0,0,0,0
144,0,0,0,0,0
145,0,0,0,0,0
146,0,0,0,0,0
147,0,0,0,0,2
148,0,0,0,1,1
149,0,0,0,0,2
150,0,0,0,0,0
151,0,0,0,0,0
152,0,0,0,0,0
153,0,0,0,0,0
154,0,0,0,0,0
155,0,0,0,0,0
156,0,0,0,0,0
157,0,0,0,0,0
158,0,0,0,0,0
159,0,0,0,0,3
160,0,0,0,3,5
161,0,0,0,4,4
162,0,0,0,0,9
163,0,0,0,0,4
164,0,0,0,0,4
165,0,0,0,0,0
166,0,0,0,0,0
167,0,0,0,0,2
168,0,0,0,0,3
169,0,0,0,0,3
170,0,0,0,0,1
171,0,0,0,0,1
172,1,0,0,1,0
173,0,0,0,0,1
174,0,0,0,0,0
175,0,0,0,0,0
176,0,0,0,0,0
177,0,0,0,0,0
178,0,0,0,0,2
179,0,0,0,1,1
180,0,0,0,0,2
181,0,0,0,0,0
182,0,0,0,0,0
183,0,0,0,0,1
184,0,0,0,0,1
185,0,0,0,0,1
186,0,0,0,0,0
187,0,0,0,0,0
188,0,0,0,0,0
189,0,0,0,0,0
190,0,0,0,0,0
191,0,0,0,0,0
192,0,0,0,0,0
193,0,0,0,0,0
194,0,0,0,0,0
195,0,0,0,0,0
196,0,0,0,0,0
197,0,0,0,0,3
198,0,0,0,0,8
199,0,0,0,1,7
200,0,0,0,0,9
201,0,0,0,4,0
202,0,0,0,0,4
203,0,0,0,0,0
204,0,0,0,0,0
205,0,0,0,0,1
206,0,0,0,1,0
207,0,0,0,0,1
208,0,0,0,0,5
209,0,0,0,0,7
210,0,0,0,0,7
211,0,0,0,0,2
212,0,0,0,0,0
213,0,0,0,0,6
214,0,0,0,0,7
215,0,0,0,0,7
216,0,0,0,0,2
217,0,0,0,0,1
218,0,0,0,0,1
219,0,0,0,0,0
220,0,0,0,0,0
221,0,0,0,0,0
222,0,0,0,0,0
223,0,0,0,0,0
224,0,0,0,0,1
225,0,0,0,1,0
226,0,0,0,0,2
227,0,0,0,0,1
228,0,0,0,0,1
229,0,0,0,0,0
230,0,0,0,0,0
231,0,0,0,0,0
232,0,0,0,0,0
233,0,0,0,0,0
234,0,0,0,0,0
235,0,0,0,0,0
236,0,0,0,0,0
237,0,0,0,0,0
238,0,0,0,0,0
239,0,0,0,0,1
240,0,0,0,0,1
241,0,0,0,0,5
242,0,0,0,0,4
243,0,0,0,0,4
244,0,0,0,0,0
245,0,0,0,0,0
246,0,0,0,0,1
247,0,0,0,0,1
248,0,0,0,0,2
249,0,0,0,0,7
250,0,0,1,5,3
251,0,0,0,1,6
252,0,0,0,0,2
253,0,0,0,0,1
254,0,0,0,0,8
255,0,0,0,6,6
256,0,0,0,1,11
257,0,0,0,0,7
258,0,0,0,0,2
259,0,0,0,0,2
260,0,0,0,0,1
261,0,0,0,0,1
262,0,0,0,0,1
263,0,0,0,0,0
264,0,0,0,0,0
265,0,0,0,0,0
266,0,0,0,0,1
267,0,0,0,0,1
268,0,0,0,0,2
269,0,0,0,1,0
270,0,0,0,0,1
271,0,0,0,0,0
272,0,0,0,0,0
273,0,0,0,0,0
274,0,0,0,0,0
275,0,0,0,0,0
276,0,0,0,0,0
277,0,0,0,0,0
278,0,0,0,0,0
279,0,0,0,0,0
280,0,0,0,0,0
281,0,0,0,0,0
282,0,0,0,0,0
283,0,0,0,0,0
284,0,0,0,0,0
285,0,0,0,0,0
286,0,0,0,0,0
287,0,0,0,0,0
288,0,0,0,0,0
289,0,0,0,0,0
290,0,0,0,0,6
291,0,0,0,1,11
292,0,0,0,1,12
293,0,0,0,0,8
294,0,0,0,0,3
295,0,0,0,1,1
296,0,0,0,0,8
297,0,0,0,1,12
298,0,0,0,4,9
299,0,0,0,0,8
300,0,0,2,2,0
301,0,0,0,0,2
302,0,0,0,0,2
303,0,0,0,0,2
304,0,0,0,0,1
305,0,0,0,1,0
306,0,0,0,0,1
307,0,0,0,0,0
308,0,0,0,0,0
309,0,0,0,0,0
310,0,0,0,0,0
311,0,0,0,0,0
312,0,0,0,0,1
313,0,0,0,0,1
314,0,0,0,0,1
315,0,0,0,0,0
316,0,0,0,0,0
317,0,0,0,0,0
318,0,0,0,0,0
319,0,0,0,0,0
320,0,0,0,0,0
321,0,0,0,0,0
322,0,0,0,0,0
323,0,0,0,0,0
324,0,0,0,0,0
325,0,0,0,0,0
326,0,0,0,0,0
327,0,0,0,0,1
328,0,0,0,0,1
329,0,0,0,0,1
330,0,0,0,0,0
331,0,0,0,0,3
332,0,0,0,0,3
333,0,0,0,0,3
334,0,0,0,0,11
335,0,1,1,5,8
336,0,0,0,0,13
337,0,0,0,0,5
338,0,0,0,1,5
339,1,0,0,0,8
340,1,0,0,0,6
341,0,0,0,0,14
342,0,0,0,1,11
343,0,0,0,0,13
344,0,0,0,0,2
345,0,0,0,0,2
346,0,0,0,2,0
347,0,0,0,0,2
348,0,0,0,0,1
349,0,0,0,0,1
350,0,0,0,0,1
351,0,0,0,0,0
352,0,0,0,0,0
353,0,0,0,0,0
354,0,0,0,0,0
355,0,0,0,0,0
356,0,0,0,0,0
357,0,0,0,0,0
358,0,0,0,0,0
359,0,0,0,0,0
360,0,0,0,0,0
361,0,0,0,0,1
362,0,0,0,0,1
363,0,0,0,0,1
364,0,0,0,0,1
365,0,0,0,0,1
366,0,0,0,0,1
367,0,0,0,0,0
368,0,0,0,0,0
369,0,0,0,0,0
370,0,0,0,0,0
371,0,0,0,0,1
372,0,0,0,1,0
373,0,0,0,0,1
374,0,0,0,0,1
375,0,0,0,0,4
376,0,0,0,3,1
377,0,0,0,0,3
378,0,0,0,0,16
379,0,0,2,5,13
380,0,0,0,1,23
381,1,0,0,0,11
382,0,0,0,2,12
383,0,0,0,2,8
384,0,0,0,2,5
385,0,0,0,0,11
386,0,0,0,6,3
387,0,0,0,0,9
388,0,0,0,0,4
389,0,0,0,0,7
390,0,0,0,0,4
391,0,0,0,0,3
392,0,0,0,0,0
393,0,0,0,0,0
394,0,0,0,0,0
395,0,0,0,0,0
396,0,0,0,0,0
397,0,0,0,0,0
398,0,0,0,0,0
399,0,0,0,0,0
400,0,0,0,0,0
401,0,0,0,0,0
402,0,0,0,0,0
403,0,0,0,0,0
404,0,0,0,0,0
405,0,0,0,0,1
406,0,0,0,1,0
407,0,0,0,0,1
408,0,0,0,0,1
409,0,0,0,1,0
410,0,0,0,0,1
411,0,0,0,0,0
412,0,0,0,0,0
413,0,0,0,0,0
414,0,0,0,0,0
415,0,0,0,0,1
416,0,0,0,0,1
417,0,0,0,0,2
418,0,0,0,0,3
419,0,0,0,1,5
420,0,0,0,0,7
421,0,0,0,0,8
422,0,0,0,0,21
423,1,0,0,6,27
424,0,0,0,1,49
425,1,0,0,6,31
426,1,0,0,0,30
427,0,0,0,3,10
428,0,0,0,0,10
429,0,0,0,0,11
430,0,0,0,2,6
431,0,0,0,0,0
432,0,0,0,0,1
433,0,0,0,0,4
434,0,0,0,3,2
435,0,0,0,1,4
436,0,0,0,1,1
437,0,0,0,0,1
438,0,0,0,0,0
439,0,0,0,0,0
440,0,0,0,0,0
441,0,0,0,0,0
442,0,0,0,0,0
443,0,0,0,0,0
444,0,0,0,0,0
445,0,0,0,0,0
446,0,0,0,0,0
447,0,0,0,0,0
448,0,0,0,0,0
449,0,0,0,0,0
450,0,0,0,0,0
451,0,0,0,0,1
452,0,0,0,0,1
453,0,0,0,0,1
454,0,0,0,0,1
455,0,0,0,0,1
456,0,0,0,0,1
457,0,0,0,0,0
458,0,0,0,0,0
459,0,0,0,0,0
460,0,0,0,0,0
461,0,0,0,0,0
462,0,0,0,0,0
463,0,0,0,0,1
464,0,0,0,1,4
465,0,0,0,1,5
466,0,0,0,0,8
467,0,0,1,2,10
468,1,0,1,3,23
469,1,2,2,5,32
470,1,0,1,12,38
471,1,1,1,14,27
472,0,0,0,1,33
473,0,0,0,2,12
474,0,0,1,1,7
475,0,0,0,0,3
476,0,0,0,0,0
477,0,0,0,0,0
478,0,0,0,0,0
479,0,0,0,0,1
480,0,0,0,1,7
481,0,0,0,0,10
482,0,0,0,0,10
483,0,0,0,0,3
484,0,0,0,0,1
485,0,0,0,0,0
486,0,0,0,0,0
487,0,0,0,0,1
488,0,0,0,0,1
489,0,0,0,0,1
490,0,0,0,0,0
491,0,0,0,0,0
492,0,0,0,0,0
493,0,0,0,0,1
494,0,0,0,0,1
495,0,0,0,0,1
496,0,0,0,0,0
497,0,0,0,0,0
498,0,0,0,0,0
499,0,0,0,0,0
500,0,0,0,0,0
501,0,0,0,0,0
502,0,0,0,0,0
503,0,0,0,0,0
504,0,0,0,0,0
505,0,0,0,0,0
506,0,0,0,0,0
507,0,0,0,0,0
508,0,0,0,0,1
509,0,0,0,0,4
510,0,0,0,0,5
511,0,0,0,0,9
512,0,1,1,2,15
513,0,0,0,1,18
514,0,0,0,1,21
515,0,1,1,5,19
516,0,0,0,4,45
517,0,0,0,1,58
518,1,0,0,1,53
519,0,0,0,5,26
520,0,0,0,2,12
521,0,0,0,0,6
522,0,0,0,0,1
523,0,0,0,0,1
524,0,0,0,0,1
525,0,0,0,0,1
526,0,0,0,0,0
527,0,0,0,0,1
528,0,0,0,0,2
529,0,0,0,0,6
530,0,0,0,4,2
531,0,0,0,1,6
532,1,0,0,0,3
533,0,0,0,0,2
534,0,0,0,0,0
535,0,0,0,0,0
536,0,0,0,0,1
537,0,0,0,1,0
538,0,0,0,0,1
539,0,0,0,0,0
540,0,0,0,0,0
541,0,0,0,0,0
542,0,0,0,0,4
543,0,0,0,1,3
544,0,0,0,0,4
545,0,0,0,0,0
546,0,0,0,0,0
547,0,0,0,0,0
548,0,0,0,0,0
549,0,0,0,0,0
550,0,0,0,0,0
551,0,0,0,0,0
552,0,0,0,0,0
553,0,0,0,0,0
554,0,0,0,0,0
555,0,0,0,0,0
556,0,0,0,0,0
557,0,0,0,0,4
558,1,0,0,1,13
559,1,0,0,3,19
560,0,0,0,0,23
561,0,0,0,2,39
562,0,0,2,10,25
563,0,0,0,0,43
564,0,0,0,0,36
565,0,0,0,4,68
566,1,0,0,15,55
567,0,0,0,3,55
568,0,0,0,2,24
569,0,0,1,1,14
570,0,0,0,0,6
571,0,0,0,0,0
572,0,0,0,0,0
573,0,0,0,0,3
574,0,0,0,0,4
575,0,0,0,1,3
576,0,0,0,0,1
577,0,0,0,0,0
578,0,0,0,0,1
579,0,0,0,1,5
580,0,0,0,0,10
581,0,0,0,0,10
582,0,0,0,0,7
583,0,0,0,2,1
584,0,0,0,0,2
585,0,0,0,0,0
586,0,0,0,0,0
587,0,0,0,0,1
588,0,0,0,0,1
589,0,0,0,0,1
590,0,0,0,0,0
591,0,0,0,0,0
592,0,0,0,0,0
593,0,0,0,0,4
594,0,0,0,3,1
595,0,0,0,0,4
596,0,0,0,0,0
597,0,0,0,0,0
598,0,0,0,0,0
599,0,0,0,0,0
600,0,0,0,0,0
601,0,0,0,0,0
602,0,0,0,0,0
603,0,0,0,0,0
604,0,0,0,0,0
605,0,0,0,0,0
606,0,0,0,0,0
607,0,0,0,0,2
608,0,0,0,0,7
