primary_key,incident_occured,latitude,longitude,grid,offense_type
20170287623_11,2017-04-01 01:09:00,36.085,-86.69,2527,13A
20170287768_11,2017-04-01 02:18:00,36.387,-86.78,1726,13B
20170287825_11,2017-04-01 02:30:00,36.177,-86.751,2024,13B
20170287841_11,2017-04-01 03:00:00,36.247,-86.775,1750,13B
20170287876_11,2017-04-01 03:00:00,36.181,-86.838,1301,13B
20170287881_11,2017-04-01 03:00:00,36.169,-86.767,1827,13A
20170287971_11,2017-04-01 04:28:00,36.106,-86.673,2639,13A
20170287992_11,2017-04-01 04:30:00,36.22,-86.79,1630,13C
20170288006_11,2017-04-01 04:40:00,36.042,-86.707,2422,13B
20170288202_11,2017-04-01 07:20:00,36.152,-86.761,1895,13B
20170288254_11,2017-04-01 07:00:00,36.151,-86.757,1962,13B
20170288580_11,2017-04-01 10:30:00,36.218,-86.811,1459,13B
20170288677_11,2017-04-01 11:00:00,36.175,-86.803,1523,13C
20170288681_11,2017-04-01 12:54:00,36.282,-86.707,2380,13B
20170288681_12,2017-04-01 12:54:00,36.282,-86.707,2380,13B
20170288681_13,2017-04-01 12:54:00,36.282,-86.707,2380,13B
20170288737_11,2017-04-01 12:00:00,36.043,-86.578,3317,13B
20170288737_12,2017-04-01 12:00:00,36.043,-86.578,3317,13B
20170288989_11,2017-04-01 14:30:00,36.025,-86.689,2538,13A
20170289031_11,2017-04-01 14:00:00,36.27,-86.69,2495,13C
20170289114_11,2017-04-01 15:00:00,36.15,-86.67,2688,13B
20170289193_11,2017-04-01 16:00:00,36.236,-86.78,1752,13A
20170289206_11,2017-04-01 16:16:00,36.117,-86.631,2961,13B
20170289209_11,2017-04-01 16:22:00,36.25,-86.73,2210,13C
20170289283_11,2017-04-01 16:59:00,36.242,-86.775,1751,13A
20170289315_11,2017-04-01 16:30:00,36.179,-86.772,1825,13B
20170289343_11,2017-04-01 00:01:00,36.17,-86.81,1468,13A
20170289358_11,2017-04-01 17:10:00,36.17,-86.74,2093,13B
20170289396_11,2017-04-01 08:55:00,36.09,-86.687,2583,13B
20170289427_11,2017-04-01 18:15:00,36.12,-86.81,1476,13A
20170289506_11,2017-04-01 18:30:00,36.202,-86.693,2507,13B
20170289506_12,2017-04-01 18:30:00,36.202,-86.693,2507,13B
20170289506_13,2017-04-01 18:30:00,36.202,-86.693,2507,13B
20170289506_14,2017-04-01 18:30:00,36.202,-86.693,2507,13B
20170289567_11,2017-04-01 19:00:00,36.074,-86.638,2919,13B
20170289582_11,2017-04-01 17:00:00,36.15,-86.79,1642,13B
20170289601_11,2017-04-01 19:00:00,36.109,-86.749,2036,13B
20170289614_11,2017-04-01 19:50:00,36.183,-86.608,3142,13B
20170289647_11,2017-04-01 19:00:00,36.264,-86.724,2207,13B
20170289710_11,2017-04-01 23:00:00,36.22,-86.846,1181,13B
20170289762_11,2017-04-01 20:50:00,36.13,-86.8,1586,13A
20170289927_11,2017-04-01 21:30:00,36.3,-86.7,2434,13A
20170290057_11,2017-04-01 23:15:00,36.19,-86.63,2948,13B
20170290064_11,2017-04-01 23:18:00,36.07,-86.69,2530,13A
20170290163_11,2017-04-01 21:00:00,36.268,-86.7,2440,13B
20170290210_21,2017-04-01 23:45:00,36.16,-86.83,1359,13A
20170290210_22,2017-04-01 23:45:00,36.16,-86.83,1359,13A
20170290254_11,2017-04-02 01:01:00,36.12,-86.74,2101,13B
20170290275_11,2017-04-02 00:30:00,36.143,-86.874,1018,13B
20170290337_11,2017-04-02 01:20:00,36.258,-86.678,2612,13B
20170290356_11,2017-04-02 01:30:00,36.19,-86.72,2280,13B
20170290461_11,2017-04-02 02:55:00,36.162,-86.779,1765,13B
20170290478_11,2017-04-02 02:44:00,36.072,-86.71,2358,13A
20170290528_11,2017-04-02 01:00:00,36.07,-86.72,2301,13A
20170290535_11,2017-04-02 04:00:00,36.122,-86.795,1647,13B
20170290663_11,2017-04-02 05:45:00,36.172,-86.77,1826,13C
20170290756_11,2017-04-02 03:00:00,36.08,-86.71,2357,13B
20170290820_11,2017-04-01 13:00:00,36.084,-86.702,2414,13A
20170290897_11,2017-04-01 22:00:00,36.17,-86.81,1468,13A
20170290991_11,2017-04-01 23:00:00,36.054,-86.638,2923,13B
20170291036_11,2017-04-02 10:05:00,36.147,-86.832,1307,13B
20170291116_11,2017-04-02 10:50:00,36.13,-86.77,1833,13C
20170291210_11,2017-04-02 11:10:00,36.08,-86.71,2357,13A
20170291220_11,2017-04-02 11:30:00,36.17,-86.8,1580,13B
20170291267_11,2017-04-02 10:00:00,36.27,-86.69,2495,13B
20170291309_11,2017-04-02 12:30:00,36.186,-86.81,1465,13C
20170291369_11,2017-04-01 23:30:00,36.15,-86.77,1830,13B
20170291384_11,2017-04-02 13:40:00,36.261,-86.681,2554,13B
20170291437_11,2017-04-02 12:44:00,36.265,-86.711,2325,13C
20170291442_11,2017-04-02 14:30:00,36.104,-86.718,2295,13C
20170291451_11,2017-04-02 14:00:00,36.207,-86.945,447,13C
20170291465_11,2017-04-02 14:40:00,36.16,-86.6,3189,13B
20170291494_11,2017-04-01 17:00:00,36.25,-86.76,1878,13C
20170291533_32,2017-04-02 15:30:00,36.19,-86.81,1464,13A
20170291574_11,2017-04-02 15:30:00,36.172,-86.813,1467,13A
20170291585_11,2017-04-02 15:20:00,36.242,-86.714,2329,13B
20170291634_11,2017-04-02 16:00:00,36.18,-86.77,1825,13C
20170291662_11,2017-04-02 16:30:00,36.22,-86.79,1630,13C
20170291662_12,2017-04-02 16:30:00,36.22,-86.79,1630,13C
20170291665_11,2017-04-02 16:00:00,36.09,-86.639,2916,13B
20170291709_11,2017-04-02 17:00:00,36.12,-86.75,2034,13B
20170291723_11,2017-04-01 23:00:00,36.16,-86.82,1414,13A
20170291745_11,2017-04-02 17:18:00,36.16,-86.78,1765,13B
20170291747_11,2017-04-02 17:24:00,36.169,-86.739,2093,13B
20170291843_11,2017-04-02 18:00:00,36.208,-86.63,2945,13B
20170291852_11,2017-04-02 18:00:00,36.2,-86.72,2278,13C
20170291856_11,2017-04-02 18:28:00,36.16,-86.83,1359,13A
20170291864_11,2017-04-02 18:24:00,36.181,-86.6,3186,13B
20170291887_12,2017-04-02 18:40:00,36.19,-86.756,1955,13A
20170291936_11,2017-04-02 18:30:00,36.046,-86.719,2305,13C
20170291936_12,2017-04-02 18:30:00,36.046,-86.719,2305,13C
20170292022_11,2017-04-02 19:48:00,36.163,-86.776,1765,13B
20170292144_11,2017-04-02 21:40:00,36.215,-86.762,1884,13B
20170292196_11,2017-04-02 21:30:00,36.17,-86.814,1468,13B
20170292209_11,2017-04-02 21:00:00,36.158,-86.879,958,13B
20170292239_11,2017-04-02 22:42:00,36.154,-86.788,1641,13B
20170292246_11,2017-04-02 22:04:00,36.18,-86.84,1245,13B
20170292246_12,2017-04-02 22:04:00,36.18,-86.84,1245,13B
20170292294_11,2017-04-02 18:00:00,36.086,-86.7,2471,13B
20170292396_11,2017-04-02 23:00:00,36.145,-86.811,1472,13B
20170292396_12,2017-04-02 23:00:00,36.145,-86.811,1472,13B
20170292489_11,2017-04-03 00:02:00,36.163,-86.573,3297,13B
20170292550_11,2017-04-03 00:19:00,36.05,-86.64,2923,13C
20170292598_11,2017-04-03 01:10:00,36.164,-86.838,1304,13A
20170292667_11,2017-04-03 02:15:00,36.18,-86.81,1466,13B
20170292718_11,2017-04-03 02:55:00,36.07,-86.59,3246,13B
20170292727_11,2017-04-03 03:05:00,36.248,-86.776,1750,13C
20170292761_11,2017-04-03 03:00:00,36.1,-86.74,2105,13B
20170292796_11,2017-04-03 02:00:00,36.166,-86.59,3229,13B
20170292980_11,2017-04-03 01:45:00,36.068,-86.812,1485,13B
20170293313_11,2017-04-03 07:15:00,36.11,-86.77,1837,13B
20170293622_11,2017-04-03 10:55:00,36.164,-86.699,2458,13C
20170293623_11,2017-04-03 10:00:00,36.168,-86.779,1764,13C
20170293633_11,2017-04-03 11:18:00,36.063,-86.593,3247,13A
20170293649_11,2017-04-03 09:00:00,36.15,-86.81,1471,13C
20170293679_11,2017-04-03 08:00:00,36.16,-86.72,2285,13C
20170293737_11,2017-04-03 12:00:00,36.169,-86.78,1764,13A
20170293807_22,2017-04-03 12:16:00,36.157,-86.77,1829,13B
20170293848_11,2017-04-03 12:55:00,36.08,-86.64,2918,13A
20170293864_11,2017-04-03 11:02:00,36.15,-86.76,1895,13C
20170293893_11,2017-04-03 14:03:00,36.14,-86.76,1897,13A
20170294072_11,2017-04-03 14:45:00,36.15,-86.84,1250,13A
20170294106_11,2017-04-03 14:00:00,36.035,-86.709,2365,13B
20170294120_11,2017-04-02 15:00:00,36.18,-86.82,1411,13C
20170294125_11,2017-04-03 14:00:00,36.15,-86.81,1471,13A
20170294276_21,2017-04-03 15:30:00,36.195,-86.731,2154,13B
20170294303_11,2017-04-03 15:55:00,36.26,-86.679,2612,13B
20170294320_11,2017-04-03 16:04:00,36.215,-86.716,2334,13B
20170294320_12,2017-04-03 16:04:00,36.215,-86.716,2334,13B
20170294412_11,2017-04-03 16:00:00,36.15,-86.76,1895,13B
20170294445_11,2017-04-03 16:40:00,36.261,-86.676,2612,13B
20170294445_12,2017-04-03 16:40:00,36.261,-86.676,2612,13B
20170294479_11,2017-04-03 16:58:00,36.08,-86.66,2756,13B
20170294519_11,2017-04-03 17:01:00,36.043,-86.717,2305,13C
20170294564_11,2017-04-03 17:20:00,36.25,-86.77,1813,13A
20170294568_11,2017-04-03 14:00:00,36.15,-86.81,1471,13B
20170294591_11,2017-04-03 17:30:00,36.07,-86.61,3114,13C
20170294629_11,2017-04-03 17:30:00,36.265,-86.665,2724,13B
20170294655_11,2017-04-02 23:00:00,36.18,-86.77,1825,13C
20170294684_11,2017-04-03 17:45:00,36.14,-86.89,843,13B
20170294803_11,2017-04-03 19:00:00,36.08,-86.66,2756,13B
20170294827_21,2017-04-03 18:40:00,36.221,-86.803,1515,13A
20170294827_22,2017-04-03 18:40:00,36.221,-86.803,1515,13A
20170294854_11,2017-04-02 23:00:00,36.054,-86.642,2923,13B
20170295092_11,2017-04-03 20:45:00,36.14,-86.7,2462,13B
20170295143_11,2017-04-03 20:55:00,36.206,-86.752,2019,13B
20170295143_12,2017-04-03 20:55:00,36.206,-86.752,2019,13B
20170295143_13,2017-04-03 20:55:00,36.206,-86.752,2019,13B
20170295177_11,2017-04-03 18:00:00,36.145,-86.624,3004,13B
20170295177_12,2017-04-03 18:00:00,36.145,-86.624,3004,13B
20170295197_11,2017-04-03 21:30:00,36.137,-86.883,902,13B
20170295289_11,2017-04-03 12:00:00,36.149,-86.758,1962,13A
20170295352_11,2017-04-03 21:00:00,36.145,-86.624,3004,13B
20170295439_11,2017-04-03 23:09:00,36.04,-86.74,2115,13B
20170295443_11,2017-04-03 22:59:00,36.18,-86.81,1466,13A
20170295443_12,2017-04-03 22:59:00,36.18,-86.81,1466,13A
20170295579_11,2017-04-03 23:30:00,36.113,-86.768,1836,13B
20170295586_11,2017-04-03 23:46:00,36.129,-86.84,1254,13B
20170295615_11,2017-04-04 00:01:00,36.225,-86.739,2083,13B
20170295668_11,2017-04-04 00:10:00,36.16,-86.79,1640,13A
20170295671_11,2017-04-04 00:57:00,36.174,-86.809,1523,13B
20170295862_11,2017-04-04 03:01:00,36.265,-86.707,2383,13B
20170296295_11,2017-04-04 07:00:00,36.041,-86.671,2707,13B
20170296384_11,2017-04-04 07:35:00,36.19,-86.82,1409,13A
20170296407_11,2017-04-04 07:49:00,36.09,-86.636,2965,13C
20170296407_12,2017-04-04 07:49:00,36.09,-86.636,2965,13C
20170296421_11,2017-04-04 06:00:00,36.15,-86.81,1471,13C
20170296431_11,2017-04-04 08:00:00,36.045,-86.662,2762,13B
20170296433_11,2017-04-01 08:00:00,36.25,-86.78,1750,13C
20170296554_11,2017-04-04 08:40:00,36.19,-86.818,1409,13A
20170296612_11,2017-04-04 09:00:00,36.31,-86.69,2488,13C
20170296624_11,2017-04-04 09:00:00,36.049,-86.72,2304,13C
20170296719_22,2017-04-04 09:00:00,36.31,-86.69,2488,13B
20170296726_11,2017-04-02 21:30:00,36.11,-86.77,1837,13C
20170296854_11,2017-04-04 10:00:00,36.198,-86.838,1298,13C
20170296894_11,2017-04-04 11:15:00,36.198,-86.719,2279,13B
20170296929_11,2017-04-04 10:00:00,36.19,-86.6,3184,13C
20170297025_11,2017-04-04 11:30:00,36.178,-86.801,1578,13A
20170297050_11,2017-04-04 11:20:00,36.19,-86.77,1823,13B
20170297118_11,2017-04-04 12:00:00,36.21,-86.75,2019,13C
20170297173_11,2017-04-04 13:00:00,36.104,-86.815,1479,13C
20170297181_11,2017-04-04 12:09:00,36.126,-86.752,2033,13B
20170297181_22,2017-04-04 12:09:00,36.126,-86.752,2033,13C
20170297295_11,2017-04-01 16:30:00,36.16,-86.65,2854,13A
20170297436_11,2017-04-04 14:15:00,36.279,-86.704,2381,13B
20170297445_11,2017-04-04 14:40:00,36.17,-86.817,1413,13A
20170297470_11,2017-04-04 14:30:00,36.129,-86.707,2407,13B
20170297488_11,2017-04-04 13:41:00,36.199,-86.753,1954,13B
20170297521_11,2017-04-04 13:00:00,36.223,-86.764,1882,13B
20170297600_11,2017-04-04 15:27:00,36.206,-86.79,1632,13A
20170297675_21,2017-04-04 16:00:00,36.178,-86.803,1522,13B
20170297736_11,2017-04-04 16:02:00,36.21,-86.73,2217,13A
20170297751_11,2017-04-04 16:30:00,36.147,-86.666,2689,13B
20170297868_11,2017-04-04 14:30:00,36.174,-86.59,3228,13A
20170297948_11,2017-04-04 16:00:00,36.194,-86.795,1634,13A
20170297971_11,2017-04-04 17:43:00,36.207,-86.771,1820,13B
20170297987_11,2017-04-04 06:30:00,36.23,-86.76,1881,13B
20170298046_11,2017-04-04 16:00:00,36.05,-86.68,2648,13B
20170298086_11,2017-04-04 18:32:00,36.078,-86.631,2967,13B
20170298094_21,2017-04-04 18:44:00,36.26,-86.7,2441,13B
20170298233_11,2017-04-04 19:00:00,36.259,-86.766,1876,13A
20170298294_11,2017-04-04 19:25:00,36.078,-86.912,675,13B
20170298320_11,2017-04-04 20:12:00,36.15,-86.81,1471,13B
20170298326_11,2017-04-04 20:00:00,36.14,-86.777,1769,13A
20170298326_33,2017-04-04 20:00:00,36.14,-86.777,1769,13B
20170298348_11,2017-04-04 19:25:00,36.08,-86.91,734,13C
20170298352_11,2017-04-04 20:00:00,36.15,-86.86,1076,13C
20170298377_11,2017-04-04 20:10:00,36.219,-86.793,1630,13B
20170298471_11,2017-04-04 21:00:00,36.14,-86.75,2031,13C
20170298546_11,2017-04-04 21:00:00,36.202,-86.739,2087,13B
20170298598_11,2017-04-04 21:26:00,36.144,-86.631,2956,13B
20170298620_11,2017-04-04 21:42:00,36.178,-86.586,3263,13C
20170298669_11,2017-04-04 22:42:00,36.166,-86.608,3145,13B
20170298805_11,2017-04-04 22:21:00,36.152,-86.657,2800,13A
20170298880_11,2017-04-04 22:46:00,36.163,-86.795,1640,13C
20170298918_11,2017-04-04 23:20:00,36.153,-86.764,1895,13A
20170298960_11,2017-04-04 23:00:00,36.17,-86.8,1580,13B
20170298980_11,2017-04-05 00:06:00,36.16,-86.83,1359,13B
20170299070_11,2017-04-04 23:00:00,36.093,-86.643,2916,13B
20170299076_11,2017-04-05 00:15:00,36.258,-86.678,2612,13B
20170299347_11,2017-04-05 02:30:00,36.192,-86.809,1520,13A
20170299347_12,2017-04-05 02:30:00,36.192,-86.809,1520,13A
20170299350_11,2017-04-05 00:50:00,36.2,-86.614,3091,13A
20170299551_11,2017-04-05 03:00:00,36.192,-86.809,1520,13B
20170299606_11,2017-04-05 00:04:00,36.08,-86.62,3064,13B
20170299899_11,2017-04-05 07:30:00,36.15,-86.82,1416,13C
20170300366_22,2017-04-05 10:00:00,36.08,-86.96,379,13A
20170300429_11,2017-04-05 09:30:00,36.09,-86.73,2237,13C
20170300481_11,2017-04-05 11:15:00,36.145,-86.764,1896,13B
20170300597_11,2017-04-05 12:05:00,36.21,-86.74,2086,13A
20170300645_22,2017-04-05 12:27:00,36.138,-86.79,1644,13C
20170300726_11,2017-04-05 13:00:00,36.184,-86.748,2023,13B
20170300842_11,2017-04-04 16:00:00,36.123,-86.819,1421,13B
20170300857_11,2017-04-05 13:54:00,36.209,-86.76,1885,13C
20170300898_11,2017-04-05 13:00:00,36.16,-86.794,1640,13B
20170300965_11,2017-04-05 15:00:00,36.17,-86.817,1413,13B
20170301086_11,2017-04-05 15:30:00,36.141,-86.787,1706,13A
20170301105_11,2017-04-05 15:00:00,36.124,-86.706,2407,13B
20170301109_11,2017-04-05 15:20:00,36.078,-86.911,675,13C
20170301147_11,2017-04-02 22:00:00,36.05,-86.72,2304,13B
20170301165_11,2017-04-05 16:02:00,36.168,-86.782,1701,13B
20170301234_11,2017-04-05 16:32:00,36.207,-86.771,1820,13B
20170301339_11,2017-04-05 14:00:00,36.146,-86.762,1896,13B
20170301507_11,2017-04-05 17:00:00,36.307,-86.686,2546,13B
20170301584_11,2017-04-05 18:40:00,36.09,-86.634,2965,13B
20170301612_11,2017-04-05 18:00:00,36.08,-86.74,2108,13B
20170301695_11,2017-04-05 19:30:00,36.15,-86.76,1895,13A
20170301777_11,2017-04-05 20:00:00,36.151,-86.628,3003,13B
20170301809_22,2017-04-05 20:22:00,36.21,-86.69,2506,13B
20170302002_11,2017-04-04 13:41:00,36.2,-86.75,2020,13B
20170302161_21,2017-04-05 22:30:00,36.17,-86.76,1892,13B
20170302168_11,2017-04-05 21:40:00,36.212,-86.842,1239,13C
20170302245_11,2017-04-04 16:00:00,36.212,-86.842,1239,13C
20170302258_11,2017-04-05 23:20:00,36.202,-86.777,1758,13A
20170302307_11,2017-04-06 01:10:00,36.05,-86.95,428,13C
20170302336_11,2017-04-05 22:00:00,36.078,-86.634,2967,13B
20170302412_11,2017-04-05 23:00:00,36.19,-86.83,1354,13B
20170302416_11,2017-04-06 00:18:00,36.15,-86.77,1830,13A
20170302560_11,2017-04-06 01:10:00,36.061,-86.643,2921,13B
20170302701_11,2017-04-02 23:00:00,36.164,-86.699,2458,13B
20170302704_11,2017-04-06 02:00:00,36.162,-86.791,1640,13B
20170302775_11,2017-04-06 02:00:00,36.162,-86.791,1640,13A
20170302829_11,2017-04-06 03:10:00,36.221,-86.762,1883,13B
20170302862_11,2017-04-06 03:20:00,36.22,-86.79,1630,13A
20170302865_11,2017-04-06 03:30:00,36.159,-86.644,2904,13B
20170302865_12,2017-04-06 03:30:00,36.159,-86.644,2904,13B
20170302889_11,2017-04-06 03:45:00,36.2,-86.62,3043,13A
20170303179_11,2017-04-06 06:29:00,36.069,-86.607,3162,13A
20170303202_11,2017-04-05 23:45:00,36.09,-86.687,2583,13B
20170303202_12,2017-04-05 23:45:00,36.09,-86.687,2583,13B
20170303290_11,2017-04-06 07:00:00,36.253,-86.758,1944,13A
20170303363_11,2017-04-06 07:30:00,36.162,-86.874,1015,13B
20170303417_11,2017-04-06 08:20:00,36.155,-86.652,2799,13B
20170303490_11,2017-04-06 08:45:00,36.164,-86.853,1133,13A
20170303541_11,2017-04-06 08:45:00,36.149,-86.862,1076,13B
20170303645_11,2017-04-06 09:30:00,36.045,-86.719,2305,13A
20170303701_11,2017-04-06 10:41:00,36.18,-86.61,3095,13C
20170303761_11,2017-04-06 11:10:00,36.232,-86.75,2015,13C
20170303761_12,2017-04-06 11:10:00,36.232,-86.75,2015,13C
20170303954_11,2017-04-06 12:40:00,36.168,-86.819,1413,13A
20170303954_12,2017-04-06 12:40:00,36.168,-86.819,1413,13A
20170304029_11,2017-04-06 14:24:00,36.152,-86.773,1830,13B
20170304030_11,2017-04-06 13:14:00,36.143,-86.625,3004,13A
20170304217_11,2017-04-06 14:25:00,36.163,-86.648,2854,13B
20170304272_11,2017-04-06 01:00:00,36.11,-86.736,2169,13B
20170304297_11,2017-04-06 06:50:00,36.17,-86.78,1764,13C
20170304400_11,2017-04-06 15:00:00,36.05,-86.719,2304,13C
20170304531_11,2017-04-06 16:31:00,36.15,-86.76,1895,13B
20170304553_11,2017-04-06 16:00:00,36.218,-86.842,1238,13B
20170304581_11,2017-04-06 16:54:00,36.21,-86.79,1632,13B
20170304614_11,2017-04-06 17:15:00,36.157,-86.836,1305,13B
20170304617_11,2017-04-06 18:16:00,36.207,-86.762,1885,13B
20170304617_12,2017-04-06 18:16:00,36.207,-86.762,1885,13B
20170304617_13,2017-04-06 18:16:00,36.207,-86.762,1885,13B
20170304618_11,2017-04-06 17:48:00,36.15,-86.74,2096,13C
20170304654_11,2017-04-06 17:30:00,36.159,-86.82,1414,13B
20170304847_11,2017-04-06 18:00:00,36.251,-86.742,2079,13B
20170304885_11,2017-04-06 17:14:00,36.09,-86.65,2866,13A
20170304918_11,2017-04-06 19:00:00,36.165,-86.603,3145,13B
20170305000_11,2017-04-06 19:22:00,36.235,-86.766,1880,13B
20170305081_11,2017-04-06 19:47:00,36.07,-86.72,2301,13A
20170305081_12,2017-04-06 19:47:00,36.07,-86.72,2301,13A
20170305100_11,2017-04-06 20:35:00,36.09,-86.65,2866,13B
20170305131_11,2017-04-06 19:00:00,35.991,-86.678,2658,13B
20170305131_12,2017-04-06 19:00:00,35.991,-86.678,2658,13B
20170305190_11,2017-04-06 20:28:00,36.153,-86.686,2573,13C
20170305202_11,2017-04-06 17:45:00,36.142,-86.779,1768,13B
20170305222_11,2017-04-06 20:35:00,36.181,-86.819,1411,13B
20170305262_11,2017-04-06 20:55:00,36.07,-86.582,3282,13B
20170305333_11,2017-04-06 21:33:00,36.186,-86.816,1465,13B
20170305466_11,2017-04-06 21:38:00,36.243,-86.929,537,13B
20170305568_11,2017-04-06 23:00:00,36.157,-86.775,1766,13B
20170305597_11,2017-04-06 23:23:00,36.168,-86.8,1580,13A
20170305658_11,2017-04-06 19:30:00,36.06,-86.82,1432,13C
20170305717_11,2017-04-07 00:12:00,36.22,-86.695,2448,13B
20170306135_11,2017-04-07 03:59:00,36.263,-86.705,2384,13B
20170306381_21,2017-04-07 06:25:00,36.044,-86.666,2706,13A
20170306484_11,2017-04-06 17:30:00,36.149,-86.765,1895,13B
20170306484_12,2017-04-06 17:30:00,36.149,-86.765,1895,13B
20170306484_14,2017-04-06 17:30:00,36.149,-86.765,1895,13B
20170306772_11,2017-04-07 09:15:00,36.084,-86.711,2356,13B
20170306844_11,2017-04-07 09:30:00,36.065,-86.624,3018,13B
20170306994_11,2017-04-07 07:30:00,36.044,-86.666,2706,13B
20170306994_12,2017-04-07 07:30:00,36.044,-86.666,2706,13B
20170307162_11,2017-04-07 11:30:00,36.079,-86.6,3203,13A
20170307253_11,2017-04-07 12:01:00,36.213,-86.76,1884,13B
20170307265_11,2017-04-07 12:00:00,36.192,-86.765,1888,13A
20170307265_22,2017-04-07 12:00:00,36.192,-86.765,1888,13B
20170307265_23,2017-04-07 12:00:00,36.192,-86.765,1888,13B
20170307275_11,2017-04-07 13:40:00,36.15,-86.76,1895,13A
20170307275_22,2017-04-07 13:40:00,36.15,-86.76,1895,13B
20170307305_11,2017-04-07 11:30:00,36.228,-86.634,2942,13B
20170307397_11,2017-04-01 07:30:00,36.089,-86.728,2238,13B
20170307469_11,2017-04-07 13:30:00,36.238,-86.804,1512,13B
20170307469_12,2017-04-07 13:30:00,36.238,-86.804,1512,13B
20170307469_13,2017-04-07 13:30:00,36.238,-86.804,1512,13B
20170307489_11,2017-04-07 13:30:00,36.266,-86.658,2780,13B
20170307624_11,2017-04-07 10:30:00,36.175,-86.585,3264,13B
20170307626_11,2017-04-07 14:00:00,36.021,-86.742,2118,13B
20170307643_11,2017-04-07 14:55:00,36.15,-86.76,1895,13A
20170307697_11,2017-04-07 10:00:00,36.318,-86.713,2316,13C
20170307700_11,2017-04-07 14:18:00,36.261,-86.683,2554,13B
20170307717_11,2017-04-07 15:15:00,36.145,-86.764,1896,13C
20170307740_11,2017-04-07 15:00:00,36.21,-86.77,1820,13A
20170307753_11,2017-04-07 15:00:00,36.142,-86.787,1705,13A
20170307807_11,2017-04-07 16:00:00,36.209,-86.584,3258,13B
20170307825_11,2017-04-07 15:40:00,36.24,-86.91,706,13B
20170307825_12,2017-04-07 15:40:00,36.24,-86.91,706,13B
20170307890_11,2017-04-07 13:30:00,36.14,-86.78,1769,13A
20170307899_11,2017-04-07 16:00:00,36.085,-86.691,2527,13B
20170307950_11,2017-04-07 16:00:00,36.18,-86.82,1411,13C
20170307958_11,2017-04-07 16:57:00,36.15,-86.79,1642,13A
20170307991_11,2017-04-07 16:57:00,36.15,-86.79,1642,13A
20170308028_11,2017-04-01 19:10:00,36.163,-86.643,2904,13A
20170308083_11,2017-04-07 17:47:00,36.15,-86.76,1895,13A
20170308083_24,2017-04-07 17:47:00,36.15,-86.76,1895,13B
20170308106_11,2017-04-07 16:10:00,36.14,-86.75,2031,13C
20170308150_11,2017-04-07 18:09:00,36.155,-86.662,2743,13A
20170308150_12,2017-04-07 18:09:00,36.155,-86.662,2743,13A
20170308168_11,2017-04-07 18:50:00,36.19,-86.82,1409,13B
20170308224_11,2017-04-07 18:40:00,36.038,-86.637,2974,13B
20170308333_11,2017-04-07 19:00:00,36.179,-86.766,1890,13B
20170308526_11,2017-04-07 20:00:00,36.15,-86.873,1017,13B
20170308536_11,2017-04-07 20:00:00,36.143,-86.788,1643,13B
20170308633_11,2017-04-07 21:00:00,36.17,-86.779,1764,13B
20170308696_11,2017-04-07 21:05:00,36.28,-86.7,2438,13A
20170308696_12,2017-04-07 21:05:00,36.28,-86.7,2438,13A
20170308748_11,2017-04-07 21:09:00,36.19,-86.83,1354,13C
20170308752_11,2017-04-07 21:45:00,36.173,-86.793,1638,13B
20170308788_11,2017-04-07 21:20:00,36.192,-86.773,1823,13B
20170308839_11,2017-04-06 08:00:00,36.14,-86.76,1897,13C
20170308857_11,2017-04-07 22:40:00,36.196,-86.776,1759,13A
20170308862_11,2017-04-07 22:42:00,36.08,-86.7,2472,13A
20170308871_11,2017-04-07 22:27:00,36.163,-86.648,2854,13B
20170308904_11,2017-04-07 22:00:00,36.085,-86.945,468,13B
20170308984_11,2017-04-07 23:31:00,36.16,-86.78,1765,13B
20170309105_11,2017-04-08 00:31:00,36.147,-86.813,1472,13A
20170309105_12,2017-04-08 00:31:00,36.147,-86.813,1472,13A
20170309122_11,2017-04-08 00:43:00,36.088,-86.693,2527,13A
20170309122_12,2017-04-08 00:43:00,36.088,-86.693,2527,13A
20170309179_11,2017-04-08 01:15:00,36.129,-86.714,2349,13B
20170309222_11,2017-04-08 00:40:00,36.258,-86.704,2384,13B
20170309234_11,2017-04-08 01:44:00,36.063,-86.923,619,13A
20170309292_11,2017-04-08 02:19:00,36.167,-86.759,1959,13A
20170309369_11,2017-04-08 03:00:00,36.16,-86.77,1828,13B
20170309397_22,2017-04-08 03:29:00,36.157,-86.77,1829,13B
20170309533_11,2017-04-08 02:00:00,36.04,-86.66,2763,13A
20170309539_11,2017-04-08 01:40:00,36.169,-86.759,1959,13B
20170309590_11,2017-04-08 05:00:00,36.179,-86.799,1578,13B
20170309877_11,2017-04-08 09:00:00,36.206,-86.769,1820,13A
20170309889_11,2017-04-08 08:10:00,36.255,-86.724,2209,13B
20170309991_11,2017-04-07 20:00:00,36.04,-86.71,2364,13C
20170310022_11,2017-04-08 10:45:00,36.13,-86.69,2519,13A
20170310110_11,2017-04-08 12:10:00,36.24,-86.73,2211,13A
20170310114_11,2017-04-08 11:40:00,36.251,-86.69,2499,13B
20170310164_11,2017-04-08 12:25:00,36.239,-86.63,2940,13A
20170310294_11,2017-04-08 13:30:00,36.142,-86.633,2956,13B
20170310294_12,2017-04-08 13:30:00,36.142,-86.633,2956,13B
20170310294_13,2017-04-08 13:30:00,36.142,-86.633,2956,13B
